node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude;coord_x;coord_y;scenario
SG_GEO_side;Sbocco Galleria GEOS side;;37,521;69,004;Tunnel;0;0;0,01;744,92;10.76488488;46.62421754;dt_sblLac_sil
Dev_SIL_05_side;Deviatoio Silandro 05 side;;37,572;69,055;SC;0;0;0,01;745;10.76526933;46.62459214;dt_sblLac_sil
Pa_I_SIL_31_side;Part. Int Silandro 31 side;merano;37,682;69,165;signal_mainline;0;0;0,01;745;10.76610186;46.62539847;existing
SIL_side;Silandro side;;37,792;69,275;LdS_side;1;1;0,01;745;10.76694914;46.62619719;existing
Pa_I_SIL_32_side;Part. Int. Silandro 32 side;malles;37,860;69,343;signal_mainline;0;0;0,01;745;10.76748855;46.62668307;existing
Dev_SIL_02_side;Deviatoio Silandro 02 side;;37,939;69,422;SC;0;0;0,01;745;10.768118;46.62724604;side
Pr_I_SIL_52_side;Prot. Int. Silandro 52 side;merano;37,989;69,472;signal_mainline;0;0;0,01;745;10.7685164;46.62760237;side
Pa_E_SIL_62_side;Part. Est. Silandro 62 side;malles;38,129;69,612;signal_mainline;0;0;0,01;747,34;10.76947584;46.6286639;side
Pr_E_SIL_02_side;Prot. Est. Silandro 02 side;merano;38,279;69,762;signal_mainline;0;0;0,01;751,38;10.76931448;46.62997531;side
km70200_side;km70200 side;;38,717;70,200;km;0;0;0,01;763,18;10.76465188;46.63004043;dt_70200_lasa
HD_601_02_side;HD 601/02 side;both;39,279;70,762;signal_mainline;0;0;0,01;778,31;10.7601437;46.62605462;dt_70200_lasa
HD_601_04_side;HD 601/04 side;both;40,279;71,762;signal_mainline;0;0;0,01;805,24;10.75043863;46.62010325;dt_70200_lasa
HD_601_06_side;HD 601/06 side;both;41,279;72,762;signal_mainline;0;0;0,01;832,17;10.73955193;46.61539544;dt_70200_lasa
HD_601_08_side;HD 601/08 side;both;42,279;73,762;signal_mainline;0;0;0,01;859,1;10.72723299;46.61274274;dt_70200_lasa
HD_601_10_side;HD 601/10 side;both;43,279;74,762;signal_mainline;0;0;0,01;865,71;10.71460825;46.61190014;dt_70200_lasa
km75800_side;km75800 side;;44,317;75,800;km;0;0;0,01;866,64;10.70243599;46.61542881;dt_70200_lasa
Pr_E_LASA_01_side;Prot. Est. Lasa 01 side;malles;44,387;75,870;signal_mainline;0;0;0,01;866,71;10.70153601;46.61553806;dt_70200_lasa
Pr_I_LASA_91_side;Prot. Int. N3 Lasa 91 side;malles;44,488;75,971;signal_mainline;0;0;0,01;866,8;10.70029513;46.61582866;dt_70200_lasa
PL27_side;PL27 side;;44,513;75,996;PL;0;0;0,01;866,82;10.70001293;46.61594146;dt_70200_lasa
Pa_E_LASA_81_side;Part. Est. Lasa 81 side;merano;44,538;76,021;signal_mainline;0;0;0,01;866,84;10.6997292;46.61605261;dt_70200_lasa
Pr_I_LASA_71_side;Prot. Int. N2 Lasa 71 side;malles;44,724;76,207;signal_mainline;0;0;0,01;867;10.69762189;46.61688348;dt_70200_lasa
PL28_side;PL28 side;;44,752;76,235;PL;0;0;0,01;867;10.69732233;46.61702763;dt_70200_lasa
Pa_I_LASA_61_side;Part. Int. N1 Lasa 61 side;merano;44,775;76,258;signal_mainline;0;0;0,01;867;10.69708996;46.6171586;dt_70200_lasa
Pr_I_LASA_51_side;Prot. Int. N1 Lasa 51 side;malles;44,809;76,292;signal_mainline;0;0;0,01;867;10.69676096;46.61736382;dt_70200_lasa
Dev_LASA_01_side;Deviatoio Lasa 01 side;;44,829;76,312;SC;0;0;0,01;867;10.69656919;46.61748593;dt_70200_lasa
Pa_I_LASA_31_side;Part. Int. N1 Lasa 31 side;merano;44,945;76,428;signal_mainline;0;0;0,01;867;10.69545667;46.61819393;existing
LASA_side;Lasa side;;44,962;76,445;LdS_side;1;1;0,01;867;10.6952939;46.61829789;existing
Pa_I_LASA_32_side;Part. Int. N2 Lasa 32 side;malles;45,102;76,585;signal_mainline;0;0;0,01;867;10.69395221;46.61915315;existing
Dev_LASA_02_side;Deviatoio Lasa 02 side;;45,188;76,671;SC;0;0;0,01;867;10.69312779;46.61967835;dt_lasa_oris
Pr_I_LASA_52_side;Prot. Int. N1 Lasa 52 side;merano;45,238;76,721;signal_mainline;0;0;0,01;867,06;10.69264809;46.61998341;dt_lasa_oris
Pa_I_LASA_62_side;Part. Int. N1 Lasa 62 side;malles;45,309;76,792;signal_mainline;0;0;0,01;867,21;10.69196698;46.62041665;dt_lasa_oris
PL29_side;PL29 side;;45,335;76,818;PL;0;0;0,01;867,27;10.6917158;46.62057398;dt_lasa_oris
Pr_I_LASA_72_side;Prot. Int. N2 Lasa 72 side;merano;45,382;76,865;signal_mainline;0;0;0,01;867,37;10.69125291;46.62085143;dt_lasa_oris
Pa_E_LASA_82_side;Part. Est. Lasa 82 side;malles;45,499;76,982;signal_mainline;0;0;0,01;867,62;10.69000418;46.62145593;dt_lasa_oris
Pr_E_LASA_02_side;Prot. Est. Lasa 02 side;merano;45,650;77,133;signal_mainline;0;0;0,01;867,94;10.68831737;46.62215909;dt_lasa_oris
HD_701_01_side;HD 701/01 side;both;46,650;78,133;signal_mainline;0;0;0,01;870,1;10.6762738;46.62526869;dt_lasa_oris
SblLasa46915_side;SblLasa46915 side;;46,915;78,398;Sbl;0;0;0,01;870,67;10.67286362;46.62567245;dt_lasa_oris
HD_701_03_side;HD 701/03 side;both;47,650;79,133;signal_mainline;0;0;0,01;872,26;10.66331314;46.62547971;dt_lasa_oris
Pr_E_ORIS_01_side;Prot. Est. Oris 01 side;malles;48,848;80,331;signal_mainline;0;0;0,01;874,84;10.64793856;46.62628794;dt_lasa_oris
Pr_I_ORIS_71_side;Prot. Int. Oris 71 side;malles;48,949;80,432;signal_mainline;0;0;0,01;875;10.64667008;46.62653652;side
Dev_ORIS_01_side;Deviatoio Oris 01 side;both;48,919;80,402;SC;1;0;0,01;874,95;10.647047;46.626463;side
PL30_side;PL30 side;;48,973;80,456;PL;0;0;0,01;875;10.64636882;46.62659594;side
Pa_ORIS_31_side;Part. Oris 31 side;merano;48,998;80,481;signal_mainline;0;0;0,01;875;10.64605449;46.62665662;side
ORIS_side;Oris side;;49,020;80,503;LdS_side;1;0;0,01;875;10.64577806;46.62671046;side
Pa_ORIS_32_side;Part. Oris 32 side;malles;49,147;80,630;signal_mainline;0;0;0,01;875,12;10.64418356;46.62702432;side
Pr_E_ORIS_02_side;Prot. Est. Oris 02 side;merano;49,297;80,780;signal_mainline;0;0;0,01;875,78;10.64229874;46.62739127;dt_oris_spon
HD_702_02_side;HD 702/02 side;both;50,297;81,780;signal_mainline;0;0;0,01;880,18;10.62965952;46.62957694;dt_oris_spon
Pr_E_SPON_01_side;Prot. Est. Spondigna 01 side;malles;51,279;82,762;signal_mainline;0;0;0,01;884,51;10.61734141;46.63148095;dt_oris_spon
Pa_E_SPON_81_side;Part. Est. Spondigna 81 side;merano;51,451;82,934;signal_mainline;0;0;0,01;885,26;10.61538522;46.63224131;dt_oris_spon
Pr_I_SPON_71_side;Prot. Int. N2 Spondigna 71 side;malles;51,620;83,103;signal_mainline;0;0;0,01;886;10.61348754;46.63301698;dt_oris_spon
PL31_side;PL31 side;;51,644;83,127;PL;0;0;0,01;886;10.61322282;46.63313256;dt_oris_spon
Pr_I_SPON_51_side;Prot. Int. N1 Spondigna 51 side;malles;51,652;83,135;signal_mainline;0;0;0,01;886;10.61313471;46.63317122;dt_oris_spon
Pa_I_SPON_61_side;Part. Int. N1 Spondigna 61 side;merano;51,668;83,151;signal_mainline;0;0;0,01;886;10.61295724;46.63324719;dt_oris_spon
Dev_SPON_01_side;Deviatoio Spondigna 01 side;;51,672;83,155;SC;0;0;0,01;886;10.61291286;46.63326617;dt_oris_spon
Pa_I_SPON_31_side;Part. Int. N2 Spondigna 31 side;merano;51,789;83,272;signal_mainline;0;0;0,01;886;10.61163529;46.63384315;existing
SPON_side;Spondigna side;;51,867;83,350;LdS_side;1;0;0,01;886;10.61079701;46.63424178;existing
Pa_I_SPON_32_side;Part. Int. Spondigna 32 side;malles;51,986;83,469;signal_mainline;0;0;0,01;886;10.6095143;46.63484615;existing
Dev_SPON_02_side;Deviatoio Spondigna 02 side;;52,061;83,544;SC;0;0;0,01;886;10.60870466;46.63522583;dt_spon_slu
Pr_I_SPON_52_side;Prot. Int. N1 Spondigna 52 side;merano;52,111;83,594;signal_mainline;0;0;0,01;886;10.60815324;46.63546661;dt_spon_slu
Pa_E_SPON_62_side;Part. Est. Spondigna 62 side;malles;52,429;83,912;signal_mainline;0;0;0,01;886,11;10.60430832;46.63653119;dt_spon_slu
PL32_side;PL32 side;;52,454;83,937;PL;0;0;0,01;886,12;10.60402176;46.63663895;dt_spon_slu
Pr_I_SPON_72_side;Prot. Int. N2 Spondigna 72 side;merano;52,480;83,963;signal_mainline;0;0;0,01;886,13;10.60373084;46.63675939;dt_spon_slu
Pr_E_SPON_02_side;Prot. Est. Spondigna 02 side;merano;52,580;84,063;signal_mainline;0;0;0,01;886,42;10.60270808;46.63731725;dt_spon_slu
HD_801_02_side;HD 801/02 side;both;53,580;85,063;signal_mainline;0;0;0,01;895,82;10.59473454;46.6443895;dt_spon_slu
HD_801_04_side;HD 801/04 side;both;54,580;86,063;signal_mainline;0;0;0,01;905,22;10.58963042;46.65256598;dt_spon_slu
SblSpon54860_side;SblSpon54860 side;;54,860;86,343;Sbl;0;0;0,01;907,85;10.58861387;46.65497788;dt_spon_slu
km86800_side;km86800 side;;55,317;86,800;km;0;0;0,01;912,15;10.58718497;46.65896854;dt_spon_slu
HD_801_06_side;HD 801/06 side;both;55,580;87,063;signal_mainline;0;0;0,01;914,62;10.5855763;46.66099652;dt_spon_slu
HD_801_07_side;HD 801/07 side;malles;56,027;87,510;signal_mainline;0;0;0,01;918,82;10.58196453;46.66394375;dt_spon_slu
SLU_side;Sluderno side;;56,146;87,629;LdS_side;1;0;0,01;919;10.58152966;46.66497152;dt_spon_slu, dt_slu_mal
