edge_id;node_from;node_to;max_speed_dir_malles;max_speed_dir_merano;length;gradient;scenario;edge_type
Pr_I_PL24_51-PL24;Pr_I_PL24_51;PL24;70;70;0,023;16,52;base;straight
PL24-Pr_I_PL24_52;PL24;Pr_I_PL24_52;70;70;0,024;16,67;base;straight
Pr_I_PL24_52-Pr_E_PL24_02;Pr_I_PL24_52;Pr_E_PL24_02;70;70;0,103;16,41;base;straight
Pr_E_PL24_02-HD_504_02;Pr_E_PL24_02;HD_504_02;70;70;1;16,5;base;straight
HD_504_02-Pr_E_SIL_01;HD_504_02;Pr_E_SIL_01;70;70;0,533;16,49;base;straight
Pr_E_SIL_01-PL25;Pr_E_SIL_01;PL25;70;70;0,116;16,47;base;straight
PL25-Pr_I_SIL_91;PL25;Pr_I_SIL_91;70;70;0,014;16,43;base;straight
Pr_I_SIL_91-Pa_E_SIL_81;Pr_I_SIL_91;Pa_E_SIL_81;70;70;0,024;16,67;base;straight
Pa_E_SIL_81-km68500;Pa_E_SIL_81;km68500;70;70;0,036;16,39;base;straight
km68500-km68650;km68500;km68650;60;60;0,15;16,47;base;straight
km68650-IG_GEO;km68650;IG_GEO;70;70;0,212;16,51;base;straight
IG_GEO-Pr_I_SIL_71;IG_GEO;Pr_I_SIL_71;70;70;0,094;5,43;base;straight
Pr_I_SIL_71-SG_GEO;Pr_I_SIL_71;SG_GEO;70;70;0,048;3,96;base;straight
SG_GEO-Dev_SIL_05;SG_GEO;Dev_SIL_05;70;70;0,051;1,57;base;straight
Dev_SIL_05-Pa_I_SIL_31;Dev_SIL_05;Pa_I_SIL_31;70;70;0,11;0;base;straight
Pa_I_SIL_31-SIL;Pa_I_SIL_31;SIL;70;70;0,11;0;base;straight
SIL-Pa_I_SIL_32;SIL;Pa_I_SIL_32;70;70;0,068;0;base;straight
Pa_I_SIL_32-Dev_SIL_02;Pa_I_SIL_32;Dev_SIL_02;70;70;0,079;0;base;straight
Dev_SIL_02-Pr_I_SIL_52;Dev_SIL_02;Pr_I_SIL_52;70;70;0,05;0;base;straight
Pr_I_SIL_52-Pa_E_SIL_62;Pr_I_SIL_52;Pa_E_SIL_62;70;70;0,14;16,71;base;straight
Pa_E_SIL_62-Pr_E_SIL_02;Pa_E_SIL_62;Pr_E_SIL_02;70;70;0,15;26,93;base;straight
Pr_E_SIL_02-km70200;Pr_E_SIL_02;km70200;100;100;0,438;26,94;base;straight
km70200-HD_601_02;km70200;HD_601_02;100;100;0,562;26,92;base;straight
HD_601_02-HD_601_04;HD_601_02;HD_601_04;100;100;1;26,93;base;straight
HD_601_04-HD_601_06;HD_601_04;HD_601_06;100;100;1;26,93;base;straight
HD_601_06-HD_601_08;HD_601_06;HD_601_08;100;100;1;26,93;base;straight
HD_601_08-HD_601_10;HD_601_08;HD_601_10;100;100;1;6,61;base;straight
HD_601_10-km75800;HD_601_10;km75800;100;100;1,038;0,9;base;straight
km75800-Pr_E_LASA_01;km75800;Pr_E_LASA_01;70;70;0,07;1;base;straight
Pr_E_LASA_01-Pr_I_LASA_91;Pr_E_LASA_01;Pr_I_LASA_91;70;70;0,101;0,89;base;straight
Pr_I_LASA_91-PL27;Pr_I_LASA_91;PL27;70;70;0,025;0,8;base;straight
PL27-Pa_E_LASA_81;PL27;Pa_E_LASA_81;70;70;0,025;0,8;base;straight
Pa_E_LASA_81-Pr_I_LASA_71;Pa_E_LASA_81;Pr_I_LASA_71;70;70;0,186;0,86;base;straight
Pr_I_LASA_71-PL28;Pr_I_LASA_71;PL28;70;70;0,028;0;base;straight
PL28-Pa_I_LASA_61;PL28;Pa_I_LASA_61;70;70;0,023;0;base;straight
Pa_I_LASA_61-Pr_I_LASA_51;Pa_I_LASA_61;Pr_I_LASA_51;70;70;0,034;0;base;straight
Pr_I_LASA_51-Dev_LASA_01;Pr_I_LASA_51;Dev_LASA_01;70;70;0,02;0;base;straight
Dev_LASA_01-Pa_I_LASA_31;Dev_LASA_01;Pa_I_LASA_31;70;70;0,116;0;base;straight
Pa_I_LASA_31-LASA;Pa_I_LASA_31;LASA;70;70;0,017;0;base;straight
LASA-Pa_I_LASA_32;LASA;Pa_I_LASA_32;70;70;0,14;0;base;straight
Pa_I_LASA_32-Dev_LASA_02;Pa_I_LASA_32;Dev_LASA_02;70;70;0,086;0;base;straight
Dev_LASA_02-Pr_I_LASA_52;Dev_LASA_02;Pr_I_LASA_52;100;100;0,05;1,2;base;straight
Pr_I_LASA_52-Pa_I_LASA_62;Pr_I_LASA_52;Pa_I_LASA_62;100;100;0,071;2,11;base;straight
Pa_I_LASA_62-PL29;Pa_I_LASA_62;PL29;100;100;0,026;2,31;base;straight
PL29-Pr_I_LASA_72;PL29;Pr_I_LASA_72;100;100;0,047;2,13;base;straight
