node_id;name;valid_dir;pk_rel;pk_abs;node_type;stop_slow;stop_fast;y;altitude
HD_701_01;HD 701/01;both;46,65;78,133;signal_mainline;0;0;0;870,1
SblLasa46915;SblLasa46915;;46,915;78,398;Sbl;0;0;0;870,67
HD_701_03;HD 701/03;both;47,65;79,133;signal_mainline;0;0;0;872,26
Pr_E_ORIS_01;Prot. Est. Oris 01;malles;48,848;80,331;signal_mainline;0;0;0;874,84
Pr_I_ORIS_71;Prot. Int. Oris 71;malles;48,949;80,432;signal_mainline;0;0;0;875
PL30;PL30;;48,973;80,456;PL;0;0;0;875
Pa_ORIS_31;Part. Oris 31;merano;48,998;80,481;signal_mainline;0;0;0;875
ORIS;Oris;;49,02;80,503;LdS;1;0;0;875
Pa_ORIS_32;Part. Oris 32;malles;49,147;80,63;signal_mainline;0;0;0;875,12
Pr_E_ORIS_02;Prot. Est. Oris 02;merano;49,297;80,78;signal_mainline;0;0;0;875,78
HD_702_02;HD 702/02;both;50,297;81,78;signal_mainline;0;0;0;880,18
Pr_E_SPON_01;Prot. Est. Spondigna 01;malles;51,279;82,762;signal_mainline;0;0;0;884,51
Pa_E_SPON_81;Part. Est. Spondigna 81;merano;51,451;82,934;signal_mainline;0;0;0;885,26
Pr_I_SPON_71;Prot. Int. N2 Spondigna 71;malles;51,62;83,103;signal_mainline;0;0;0;886
PL31;PL31;;51,644;83,127;PL;0;0;0;886
Pr_I_SPON_51;Prot. Int. N1 Spondigna 51;malles;51,652;83,135;signal_mainline;0;0;0;886
Pa_I_SPON_61;Part. Int. N1 Spondigna 61;merano;51,668;83,151;signal_mainline;0;0;0;886
Dev_SPON_01;Deviatoio Spondigna 01;both;51,672;83,155;SC;0;0;0;886
Pa_I_SPON_41;Part. Int. Spondigna 41;merano;51,789;83,272;signal_side;0;0;-0,01;886
Pa_I_SPON_31;Part. Int. N2 Spondigna 31;merano;51,789;83,272;signal_mainline;0;0;0;886
SPON;Spondigna;;51,867;83,35;LdS;1;0;0;886
Pa_I_SPON_42;Part. Int. Spondigna 42;malles;51,934;83,417;signal_side;0;0;-0,01;886
Pa_I_SPON_32;Part. Int. Spondigna 32;malles;51,986;83,469;signal_mainline;0;0;0;886
Dev_SPON_02;Deviatoio Spondigna 02;both;52,061;83,544;SC;0;0;0;886
Pr_I_SPON_52;Prot. Int. N1 Spondigna 52;merano;52,111;83,594;signal_mainline;0;0;0;886
Pa_E_SPON_62;Part. Est. Spondigna 62;malles;52,429;83,912;signal_mainline;0;0;0;886,11
PL32;PL32;;52,454;83,937;PL;0;0;0;886,12
Pr_I_SPON_72;Prot. Int. N2 Spondigna 72;merano;52,48;83,963;signal_mainline;0;0;0;886,13
Pr_E_SPON_02;Prot. Est. Spondigna 02;merano;52,58;84,063;signal_mainline;0;0;0;886,42
HD_801_02;HD 801/02;both;53,58;85,063;signal_mainline;0;0;0;895,82
HD_801_04;HD 801/04;both;54,58;86,063;signal_mainline;0;0;0;905,22
SblSpon54860;SblSpon54860;;54,86;86,343;Sbl;0;0;0;907,85
km86800;km86800;;55,317;86,8;km;0;0;0;912,15
HD_801_06;HD 801/06;both;55,58;87,063;signal_mainline;0;0;0;914,62
HD_801_07;HD 801/07;malles;56,027;87,51;signal_mainline;0;0;0;918,82
SLU;Sluderno;;56,146;87,629;LdS;0;0;0;919
HD_801_08;HD 801/08;merano;56,397;87,88;signal_mainline;0;0;0;922,55
HD_801_10;HD 801/10;both;57,229;88,712;signal_mainline;0;0;0;942,13
HD_801_12;HD 801/12;both;58,229;89,712;signal_mainline;0;0;0;965,67
SblSpon58860;SblSpon58860;;58,86;90,343;Sbl;0;0;0;980,52
Pr_E_MAL_01;Prot. Est. Malles 01;malles;59,103;90,586;signal_mainline;0;0;0;986,23
Pa_E_MAL_61;Part. Est. Malles 61;merano;59,254;90,737;signal_mainline;0;0;0;989,79
Pr_I_MAL_51;Prot. Int. Malles 51;malles;59,515;90,998;signal_mainline;0;0;0;995,93
Dev_MAL_05;Deviatoio Malles 05;both;59,633;91,116;SC;0;0;0;998
Pa_I_MAL_31d;Part. Int. Malles 31d;merano;59,721;91,204;signal_mainline;0;0;0;998
Pa_I_MAL_41d;Part. Int. Malles 41d;merano;59,737;91,22;signal_side;0;0;0,01;998
MAL;Malles;;59,853;91,336;LdS;1;1;0;998
S_MAL_31s;S. Malles 31s;both;59,875;91,358;signal_mainline;0;0;0;998
S_MAL_41s;S. Malles 41s;both;59,875;91,358;signal_side;0;0;0,01;998
